序号,id,原始变种文本,还原答案,CoreHit命中,variant_mapping,语音映射片段含字母,语义片段映射,完整上下文映射,macro_category,category,reasoning,语义片段映射含英文字母,字母片段一声调映射,语义片段映射（字母归一化）
319,biz_0403#1,结果妹自己搞了一些qqny,结果妹自己搞了一些情趣内衣,是,qqny -> 情趣内衣,是,qqny -> 情趣内衣,结果妹自己搞了一些qqny -> 结果妹自己搞了一些情趣内衣,其他,缩写,qqny是“情趣内衣”的拼音首字母缩写，发音上无关，属于其他大类下的缩写。,是,qqny -> qi qi ne yi,qi qi ne yi -> 情趣内衣
320,biz_0400#1,宝贝 知道男朋友在隔壁你还这样不是在gy我吗,宝贝 知道男朋友在隔壁你还这样不是在勾引我吗,是,gy -> 勾引,是,gy -> 勾引,宝贝 知道男朋友在隔壁你还这样不是在gy我吗 -> 宝贝 知道男朋友在隔壁你还这样不是在勾引我吗,其他,缩写,gy是“勾引”的拼音首字母缩写，通过拼音首字母编码，发音无关，符合缩写定义。,是,gy -> ge yi,ge yi -> 勾引
321,biz_0442#1,妹妹一边shenyin一边发出娇chuan,妹妹一边呻吟一边发出娇喘,是,shenyin -> 呻吟；chuan -> 喘,是,shenyin -> 呻吟；娇chuan -> 娇喘,妹妹一边shenyin一边发出娇chuan -> 妹妹一边呻吟一边发出娇喘,拟音,语音符号替代,使用拼音'shenyin'和'chuan'代替汉字'呻吟'和'喘'，属于语音符号替代。,,,shenyin -> 呻吟；娇chuan -> 娇喘
322,biz_0438#1,迷迷蒙蒙间简茸觉得自己真的gc了,迷迷蒙蒙间简茸觉得自己真的高潮了,是,gc -> 高潮,是,gc -> 高潮,迷迷蒙蒙间简茸觉得自己真的gc了 -> 迷迷蒙蒙间简茸觉得自己真的高潮了,其他,缩写,gc为“高潮”的拼音首字母缩写，属于发音无关的缩写。,是,gc -> ge ci,ge ci -> 高潮
323,biz_0362#1,左说右不乖上课yy老师,左说右不乖上课意淫老师,否,yy -> 意淫,是,上课yy老师 -> 上课意淫老师,左说右不乖上课yy老师 -> 左说右不乖上课意淫老师,其他,缩写,变体“yy”为拼音首字母缩写，读音与“意淫”无关，符合缩写定义。,是,yy -> yi yi,上课yi yi老师 -> 上课意淫老师
324,biz_0443#1,从后面插入 妹妹yin jiao着 脸粉嫩嫩的,从后面插入 妹妹淫叫着 脸粉嫩嫩的,是,yin jiao -> 淫叫,是,yin jiao着 -> 淫叫着,从后面插入 妹妹yin jiao着 脸粉嫩嫩的 -> 从后面插入 妹妹淫叫着 脸粉嫩嫩的,拟音,语音符号替代,使用拼音'yin jiao'代替汉字'淫叫'，属于拟音中的语音符号替代。,,,yin jiao着 -> 淫叫着
325,biz_0437#1,sp公开旁观合集,打屁股公开旁观合集,否,sp -> 打屁股,是,sp -> 打屁股,sp公开旁观合集 -> 打屁股公开旁观合集,其他,缩写,变体 sp 由拼音首字母组成，与还原词打屁股在发音上无直接关联，属于拼音首字母缩写，符合缩写子类定义。,是,,sp -> 打屁股
326,biz_0440#1,让妹的pp 刚好放进哥tui 间的空隙里,让妹的屁股刚好放进哥腿间的空隙里,是,pp -> 屁股；tui -> 腿,是,妹的pp -> 妹的屁屁；哥的tui -> 哥的腿,让妹的pp 刚好放进哥tui 间的空隙里 -> 让妹的屁股刚好放进哥腿间的空隙里,拟音,语音符号替代,变体“pp”为“屁股”的拼音首字母缩写，“tui”为“腿”的拼音，均通过发音符号替代标准汉字，属于语音符号替代。,是，英文字母发音,,妹的pp -> 妹的屁屁；哥的tui -> 哥的腿
327,biz_0444#1,手下加点力会是一次窒息性gc,手下加点力会是一次窒息性高潮,是,gc -> 高潮,是,gc -> 高潮,手下加点力会是一次窒息性gc -> 手下加点力会是一次窒息性高潮,其他,缩写,gc 是“高潮”的拼音首字母缩写，属于其他类缩写。,是,gc -> ge ci,ge ci -> 高潮
328,biz_0409#1,在右位因为🔝到深处而要叫出声的时候,在右位因为顶到深处而要叫出声的时候,否,🔝 -> 顶,否,🔝到 -> 顶到,在右位因为🔝到深处而要叫出声的时候 -> 在右位因为顶到深处而要叫出声的时候,其他,表情符号替换,原文使用表情符号“🔝”代替汉字“顶”，依靠视觉符号的语义关联而非发音，符合表情符号替换定义。,否,,🔝到 -> 顶到
329,biz_0401#1,恶俗一点的话哥会扇一下说真sao,恶俗一点的话哥会扇一下说真骚,是,sao -> 骚,是,说真sao -> 说真骚,恶俗一点的话哥会扇一下说真sao -> 恶俗一点的话哥会扇一下说真骚,拟音,语音符号替代,使用拼音sao代替汉字骚，发音相同，属于语音符号替代。,,,说真sao -> 说真骚
330,biz_0439#1,2🥕拉拉 看到下辈子 不跑路,2元拉拉 看到下辈子 不跑路,否,🥕 -> 元,否,2🥕拉拉 -> 2元拉拉,2🥕拉拉 看到下辈子 不跑路 -> 2元拉拉 看到下辈子 不跑路,其他,表情符号替换,使用表情符号🥕代替汉字“元”，通过视觉符号传达编码含义，属于表情符号替换。,否,,2🥕拉拉 -> 2元拉拉
331,biz_0441#1,choucha 的时候会带动两团rq晃动,抽插的时候会带动两团肉球晃动,否,choucha -> 抽插,是,choucha 的时候 -> 抽插的时候,choucha 的时候会带动两团rq晃动 -> 抽插的时候会带动两团肉球晃动,拟音,语音符号替代,使用拼音'choucha'替代'抽插'，属于语音符号替代。,,,choucha 的时候 -> 抽插的时候
332,biz_0452#1,但左不让右穿nink还让右穿着裙子,但左不让右穿内衣裤还让右穿着裙子,否,nink -> 内衣裤,是,n in k -> 内衣裤,但左不让右穿nink还让右穿着裙子 -> 但左不让右穿内衣裤还让右穿着裙子,其他,缩写,nink是拼音缩写或变形，发音上与内衣裤无关，属于通过字母编码的缩写。,是,,n in k -> 内衣裤
333,biz_0463#1,这时拿出毛巾就会sj,这时拿出毛巾就会射精,否,sj -> 射精,是,就会sj -> 就会射精,这时拿出毛巾就会sj -> 这时拿出毛巾就会射精,其他,缩写,sj是“射精”的拼音首字母缩写，发音无关，属于缩写。,是,sj -> si ji,就会si ji -> 就会射精
334,biz_0435#1,可见此人的XP真的很统一了我都不知道该咋填,可见此人的性癖真的很统一了我都不知道该咋填,是,XP -> 性癖,是,XP -> 性癖,可见此人的XP真的很统一了我都不知道该咋填 -> 可见此人的性癖真的很统一了我都不知道该咋填,其他,缩写,XP是性癖的拼音首字母缩写，发音上不相似，属于缩写类。,是,XP -> xi po,xi po -> 性癖
335,biz_0402#1,上报回去左以为右是故意找茬遂提着一整袋的小toys上门,上报回去左以为右是故意找茬遂提着一整袋的小玩具上门,否,toys -> 玩具,是,小toys -> 小玩具,上报回去左以为右是故意找茬遂提着一整袋的小toys上门 -> 上报回去左以为右是故意找茬遂提着一整袋的小玩具上门,其他,缩写,使用英文单词复数形式'toys'替代中文'玩具'，发音无关，属于罗马字母符号替代，归为缩写。,是,,小toys -> 小玩具
336,biz_0506#1,关于扇b，哥扇了一下后问妹喜不喜欢,关于扇逼，哥扇了一下后问妹喜不喜欢,是,b -> 逼,是,扇b -> 扇逼,关于扇b，哥扇了一下后问妹喜不喜欢 -> 关于扇逼，哥扇了一下后问妹喜不喜欢,拟音,语音符号替代,使用字母“b”作为拼音首字母替代汉字“逼”，属于语音符号替代。,是，英文字母发音,,扇b -> 扇逼
337,biz_0478#1,有用打印机印bi，在公司单面镜让luo着做动作展示,有用打印机印逼，在公司单面镜让裸着做动作展示,是,bi -> 逼；luo -> 裸,是,印bi -> 印逼；luo着 -> 裸着,有用打印机印bi，在公司单面镜让luo着做动作展示 -> 有用打印机印逼，在公司单面镜让裸着做动作展示,拟音,语音符号替代,使用拼音字母'bi'和'luo'分别替代同音汉字'逼'和'裸'，属于语音符号替代。,,,印bi -> 印逼；luo着 -> 裸着
338,biz_0522#1,被挑拨得忍不住发大💦，被左毫不留情地抽了几巴掌,被挑拨得忍不住发大水，被左毫不留情地抽了几巴掌,是,💦 -> 水,否,发大💦 -> 发大水,被挑拨得忍不住发大💦，被左毫不留情地抽了几巴掌 -> 被挑拨得忍不住发大水，被左毫不留情地抽了几巴掌,其他,表情符号替换,表情符号💦替代汉字“水”，构成“发大水”，属于表情符号替换。,否,,发大💦 -> 发大水
339,biz_0521#1,左在长棒上满催情药，慢慢旋转着往右的小❄️里塞,左在长棒上满催情药，慢慢旋转着往右的小穴里塞,是,❄️ -> 穴,否,小❄️ -> 小穴,左在长棒上满催情药，慢慢旋转着往右的小❄️里塞 -> 左在长棒上满催情药，慢慢旋转着往右的小穴里塞,其他,表情符号替换,雪花表情符号❄️代替“穴”字，字面语义与编码含义不同，属于表情符号替换。,否,,小❄️ -> 小穴
340,biz_0505#1,有脉冲pao 机也有吸吮，两种功能,有脉冲炮机也有吸吮，两种功能,是,pao  -> 炮,是,pao 机 -> 炮机,有脉冲pao 机也有吸吮，两种功能 -> 有脉冲炮机也有吸吮，两种功能,拟音,语音符号替代,使用拼音'pao'根据发音代替标准汉字'炮'，属于语音符号替代。,,,pao 机 -> 炮机
341,biz_0484#1,攻发现受双性让他认主还是什么，rou挺香的,攻发现受双性让他认主还是什么，肉挺香的,是,rou -> 肉,是,rou挺香的 -> 肉挺香的,攻发现受双性让他认主还是什么，rou挺香的 -> 攻发现受双性让他认主还是什么，肉挺香的,拟音,语音符号替代,rou是拼音，根据发音代替汉字‘肉’，属于语音符号替代。,,,rou挺香的 -> 肉挺香的
342,biz_0547#1,粉嫩的*器被玩得发红发紫变得非常软烂,粉嫩的性器被玩得发红发紫变得非常软烂,否,* -> 性,否,*器 -> 性器,粉嫩的*器被玩得发红发紫变得非常软烂 -> 粉嫩的性器被玩得发红发紫变得非常软烂,其他,表情符号替换,用星号“*”屏蔽敏感词“性”，属于视觉符号替换，字面与编码含义不同，符合表情符号替换定义。,否,,*器 -> 性器
343,biz_0529#1,右是偶像，左在右雪里放可以连接歌曲,右是偶像，左在右穴里放可以连接歌曲,否,雪 -> 穴,否,右的雪里 -> 右的穴里,右是偶像，左在右雪里放可以连接歌曲 -> 右是偶像，左在右穴里放可以连接歌曲,拟音,非词汇同音词,变体将“雪”替换为“穴”，利用同音字（xue3/xue2）实现谐音替换，表面片段“右雪里”并非有效词汇表达，属于非词汇同音词。,否,,右的雪里 -> 右的穴里
344,biz_0583#1,妹妹总是出💧很多 哥哥也总是拿这个挑逗,妹妹总是出水很多 哥哥也总是拿这个挑逗,是,💧 -> 水,否,出💧 -> 出水,妹妹总是出💧很多 哥哥也总是拿这个挑逗 -> 妹妹总是出水很多 哥哥也总是拿这个挑逗,其他,表情符号替换,用表情符号💧替换了文字“水”，属于表情符号替换。,否,,出💧 -> 出水
345,biz_0523#1,胸口和眼睛的星空还有瘦瘦的身体都很涩情✋🏻,胸口和眼睛的星空还有瘦瘦的身体都很色情✋🏻,是,涩 -> 色,否,涩情 -> 色情,胸口和眼睛的星空还有瘦瘦的身体都很涩情✋🏻 -> 胸口和眼睛的星空还有瘦瘦的身体都很色情✋🏻,拟音,非词汇同音词,“涩情”不是有效词汇，但通过同音字“涩”替换“色”来编码“色情”，发音相同，属于非词汇同音词。,否,,涩情 -> 色情
346,biz_0575#1,➗超多 看到下辈子,出超多 看到下辈子,否,➗ -> 出,否,➗超多 -> 出超多,➗超多 看到下辈子 -> 出超多 看到下辈子,拟音,语音符号替代,除号➗读作“除”，与“出”同音，是用符号根据发音替代汉字，属于语音符号替代。,否,,➗超多 -> 出超多
347,biz_0544#1,但右位说了很多平时难以启齿的好话左位都不听，就着水云力，右位里面的水就晃晃悠悠的,但右位说了很多平时难以启齿的好话左位都不听，就着浪，右位里面的水就晃晃悠悠的,否,水云力 -> 浪,否,就着水云力 -> 就着浪,但右位说了很多平时难以启齿的好话左位都不听，就着水云力，右位里面的水就晃晃悠悠的 -> 但右位说了很多平时难以启齿的好话左位都不听，就着浪，右位里面的水就晃晃悠悠的,其他,缩写,变体“水云力”通过拆解汉字“浪”为三个部件形成，发音不相关，属于非拟音的文字游戏，归入其他大类，与缩写类似是一种非语音的编码替换。,否,,就着水云力 -> 就着浪
348,biz_0525#1,并👅干净哥的**，还会张开嘴向哥展示,并舔干净哥的**，还会张开嘴向哥展示,是,👅 -> 舔,否,👅 -> 舔,并👅干净哥的**，还会张开嘴向哥展示 -> 并舔干净哥的**，还会张开嘴向哥展示,其他,表情符号替换,使用舌头表情符号👅代替文字“舔”，属于表情符号替换。,否,,👅 -> 舔
349,biz_0002#1,意外撞见竹马在房间做手工后2（高h）,意外撞见竹马在房间做手工后2（高黄）,是,h -> 黄,是,高h -> 高黄,意外撞见竹马在房间做手工后2（高h） -> 意外撞见竹马在房间做手工后2（高黄）,其他,缩写,“h”是“黄”的拼音首字母，发音上并不相近，属于缩写替换。,是,h -> he,高he -> 高黄
350,biz_0003#1,返图 改了点 翻了一下pl好像就我画的很潦草啊（）,返图 改了点 翻了一下评论区好像就我画的很潦草啊（）,否,pl -> 评论区,是,pl -> 评论区,返图 改了点 翻了一下pl好像就我画的很潦草啊（） -> 返图 改了点 翻了一下评论区好像就我画的很潦草啊（）,其他,缩写,使用拼音首字母缩写，发音上无关。,是,pl -> po le,po le -> 评论区
351,biz_0571#1,猜你想玩：dol,猜你想玩：Degrees of Lewdity,否,dol -> Degrees of Lewdity,是,dol -> Degrees of Lewdity,猜你想玩：dol -> 猜你想玩：Degrees of Lewdity,其他,缩写,dol 是游戏名称 Degrees of Lewdity 的英文缩写，发音上无关，属于缩写类。,是,,dol -> Degrees of Lewdity
352,biz_0004#1,左把小🐔🐔c在右的小❄️里还吃着右的大扔,左把小鸡鸡插在右的小穴里还吃着右的大奶,否,🐔🐔c -> 鸡鸡插；❄️ -> 穴；扔 -> 奶,是,小🐔🐔c -> 小鸡鸡插；小❄️ -> 小穴；大扔 -> 大奶,左把小🐔🐔c在右的小❄️里还吃着右的大扔 -> 左把小鸡鸡插在右的小穴里还吃着右的大奶,其他,表情符号替换,主要使用表情符号替换，如🐔🐔和❄️，以及字母缩写c，整体采用表情符号替换编码，扔→奶为形近谐音，但整体归类为表情符号替换。,是,c -> ci,小🐔🐔ci -> 小鸡鸡插；小❄️ -> 小穴；大扔 -> 大奶
353,biz_0009#1,哥妹p 体型差 两部 2🥕,兄妹配对 体型差 两部 2元,否,p -> 配对；🥕 -> 元,是,哥妹p -> 兄妹配对；2🥕 -> 2元,哥妹p 体型差 两部 2🥕 -> 兄妹配对 体型差 两部 2元,其他,缩写,原文包含字母缩写'p'（配对）和表情符号'🥕'（元），均属非拟音的其他类；其中'p'为核心词汇缩写，故归为缩写子类。,是,p -> po,哥妹po -> 兄妹配对；2🥕 -> 2元
354,biz_0526#1,什么说脏话被惩罚桌角走绳催🥛,什么说脏话被惩罚桌角走绳催乳,否,🥛 -> 乳,否,催🥛 -> 催乳,什么说脏话被惩罚桌角走绳催🥛 -> 什么说脏话被惩罚桌角走绳催乳,其他,表情符号替换,使用🥛表情符号（牛奶）替换“乳”字，表达催乳的含义，属于表情符号替换。,否,,催🥛 -> 催乳
355,biz_0020#1,把妹弄醒了哼哼唧唧的，哥听到声音又🍐了,把妹弄醒了哼哼唧唧的，哥听到声音又立了,否,🍐 -> 立,否,又🍐了 -> 又立了,把妹弄醒了哼哼唧唧的，哥听到声音又🍐了 -> 把妹弄醒了哼哼唧唧的，哥听到声音又立了,其他,表情符号替换,使用梨的emoji'🍐'替代发音相近的汉字'立'，传达非字面含义，属于表情符号替换。,否,,又🍐了 -> 又立了
356,biz_0012#1,你不准参加yp,你不准参加约炮,否,yp -> 约炮,是,yp -> 约炮,你不准参加yp -> 你不准参加约炮,其他,缩写,变体使用拼音首字母缩写代替原词，发音无关，属于其他大类中的缩写子类。,是,yp -> yi po,yi po -> 约炮
357,biz_0445#1,妹问哥要亲亲的时候会说“亲亲”但是这两个字和日语的ちんちん发音很像,妹问哥要亲亲的时候会说“亲亲”但是这两个字和日语的ちんちん发音很像,是,亲亲 -> ちんちん,否,亲亲 -> ちんちん,妹问哥要亲亲的时候会说“亲亲”但是这两个字和日语的ちんちん发音很像 -> 妹问哥要亲亲的时候会说“亲亲”但是这两个字和日语的ちんちん发音很像,拟音,跨语言语音编码（含方言，可称非普通话音近）,文本指出“亲亲”与日语“ちんちん”发音相似，虽然未体现为实际替换，但属于对跨语言语音编码现象的讨论，可归入拟音大类下的跨语言语音编码。,否,,亲亲 -> ちんちん
358,biz_0129#1,或许。。lvss？,或许。。lvss？,否,lvss -> lvss,是,lvss -> lvss,或许。。lvss？ -> 或许。。lvss？,其他,缩写,原始文本与还原答案无差异，未产生变种映射，但文本包含字母串“lvss”，属于罗马字母缩写形式，符合缩写定义。,是,,lvss -> lvss
359,biz_0366#1,低头咬住妹的扔（妹身体特殊会产汝）,低头咬住妹的奶（妹身体特殊会产乳）,否,扔 -> 奶；汝 -> 乳,否,妹的扔 -> 妹的奶；产汝 -> 产乳,低头咬住妹的扔（妹身体特殊会产汝） -> 低头咬住妹的奶（妹身体特殊会产乳）,拟音,跨语言语音编码（含方言，可称非普通话音近）,扔（reng）在部分方言中与奶（nai）发音相似，汝（ru）与乳（ru）同音，均通过语音近似替换原词。,否,,妹的扔 -> 妹的奶；产汝 -> 产乳
360,biz_0041#1,或许p白？,或许白嫖？,否,p -> 嫖,是,p白 -> 白嫖,或许p白？ -> 或许白嫖？,其他,缩写,使用拼音首字母“p”代替汉字“嫖”，属于拼音缩写，发音无关，符合子类“缩写”。,是,p -> po,po白 -> 白嫖
361,biz_0382#1,活着好痛苦好累我想zc,活着好痛苦好累我想自残,是,zc -> 自残,是,zc -> 自残,活着好痛苦好累我想zc -> 活着好痛苦好累我想自残,其他,缩写,使用拼音首字母缩写“zc”代替“自残”，发音不相关，属于缩写。,是,zc -> zi ci,zi ci -> 自残
362,biz_0368#1,在家抢了。妹没认出伪装得好的叔,在家强（奸）了。妹没认出伪装得好的叔,否,抢 -> 强(奸),否,抢了 -> 强了,在家抢了。妹没认出伪装得好的叔 -> 在家强（奸）了。妹没认出伪装得好的叔,拟音,歧义同音词,用同音字“抢”（qiang3）替代“强”（qiang2），通过谐音隐藏“强奸”的实际含义，属于歧义同音词。,否,,抢了 -> 强了
363,biz_0481#1,我靠太好看了不愧是顶闹钟早起复习刷的xhs，,我靠太好看了不愧是顶闹钟早起复习刷的小红书，,是,xhs -> 小红书,是,xhs -> 小红书,我靠太好看了不愧是顶闹钟早起复习刷的xhs， -> 我靠太好看了不愧是顶闹钟早起复习刷的小红书，,其他,缩写,xhs 是拼音首字母缩写，发音不直接对应，属于缩写类。,是,xhs -> xi he si,xi he si -> 小红书
364,biz_0436#1,3块巨多🥕3块巨多🥕3块巨多🥕,3块巨多🥕3块巨多🥕3块巨多🥕,是,无映射,否,3块巨多🥕 -> 3块巨多🥕,3块巨多🥕3块巨多🥕3块巨多🥕 -> 3块巨多🥕3块巨多🥕3块巨多🥕,其他,表情符号替换,原始文本和还原答案完全相同，无实际变种映射，但🥕属于表情符号，若存在替换则属表情符号替换，此处无替换故仅形式归类。,否,,3块巨多🥕 -> 3块巨多🥕
365,toxicloakcn_homophone_keyword_001165#1,一群募购什么事做不出来,一群母狗什么事做不出来,是,募购 -> 母狗,否,募购 -> 母狗,一群募购什么事做不出来 -> 一群母狗什么事做不出来,拟音,歧义同音词,“募购”与“母狗”发音相近，且“募购”本身有字面含义，属于拟音大类中的歧义同音词。,否,,募购 -> 母狗
366,toxicloakcn_emoji_keyword_001539#1,说了多少次，👊🔟的目标非常明确，就是把蝈腩干死，彻底的把蝈腩变成自己的血包别人说啥干啥，只要不是给蝈腩打气，她们都不会管的,说了多少次，拳师的目标非常明确，就是把蝈腩干死，彻底的把蝈腩变成自己的血包别人说啥干啥，只要不是给蝈腩打气，她们都不会管的,是,👊🔟 -> 拳师,否,👊🔟 -> 拳师,说了多少次，👊🔟的目标非常明确，就是把蝈腩干死，彻底的把蝈腩变成自己的血包别人说啥干啥，只要不是给蝈腩打气，她们都不会管的 -> 说了多少次，拳师的目标非常明确，就是把蝈腩干死，彻底的把蝈腩变成自己的血包别人说啥干啥，只要不是给蝈腩打气，她们都不会管的,其他,表情符号替换,使用表情符号拳头和数字10，通过谐音（拳十）编码为“拳师”，传达与字面含义不同的编码含义。,否,,👊🔟 -> 拳师
367,toxicloakcn_homophone_keyword_002327#1,一些难桶性恋者会说出一些符合女性特质的话语，比如“我的β很胀很痒。”“给本宫请安。”“叫我大姐。”“妹妹你来啦。”“塑料姐妹花”。语义空间上，很多难桶性恋者可能认为“姐妹相称”或使用一些“女性专属”的语料可能是风趣幽末，或者开玩笑，但其中有一部分却可能是真实存在“性别焦虑”问题者。而对于一部分难桶性恋者来说，使用女性化的语料，更“母”的语言与行为会让他们感觉在社交中更为舒适。在主观上与他人眼中，这有意或无意地更加模糊了“难桶性恋”中的0角色与“跨性别者”“性别焦虑者”的界限。,一些男同性恋者会说出一些符合女性特质的话语，比如“我的β很胀很痒。”“给本宫请安。”“叫我大姐。”“妹妹你来啦。”“塑料姐妹花”。语义空间上，很多男同性恋者可能认为“姐妹相称”或使用一些“女性专属”的语料可能是风趣幽默，或者开玩笑，但其中有一部分却可能是真实存在“性别焦虑”问题者。而对于一部分男同性恋者来说，使用女性化的语料，更“母”的语言与行为会让他们感觉在社交中更为舒适。在主观上与他人眼中，这有意或无意地更加模糊了“男同性恋”中的0角色与“跨性别者”“性别焦虑者”的界限。,是,难桶 -> 男同；末 -> 默,否,难桶性恋者 -> 男同性恋者；幽末 -> 幽默,一些难桶性恋者会说出一些符合女性特质的话语，比如“我的β很胀很痒。”“给本宫请安。”“叫我大姐。”“妹妹你来啦。”“塑料姐妹花”。语义空间上，很多难桶性恋者可能认为“姐妹相称”或使用一些“女性专属”的语料可能是风趣幽末，或者开玩笑，但其中有一部分却可能是真实存在“性别焦虑”问题者。而对于一部分难桶性恋者来说，使用女性化的语料，更“母”的语言与行为会让他们感觉在社交中更为舒适。在主观上与他人眼中，这有意或无意地更加模糊了“难桶性恋”中的0角色与“跨性别者”“性别焦虑者”的界限。 -> 一些男同性恋者会说出一些符合女性特质的话语，比如“我的β很胀很痒。”“给本宫请安。”“叫我大姐。”“妹妹你来啦。”“塑料姐妹花”。语义空间上，很多男同性恋者可能认为“姐妹相称”或使用一些“女性专属”的语料可能是风趣幽默，或者开玩笑，但其中有一部分却可能是真实存在“性别焦虑”问题者。而对于一部分男同性恋者来说，使用女性化的语料，更“母”的语言与行为会让他们感觉在社交中更为舒适。在主观上与他人眼中，这有意或无意地更加模糊了“男同性恋”中的0角色与“跨性别者”“性别焦虑者”的界限。,拟音,非词汇同音词,“难桶”与“男同”音近，“幽末”与“幽默”同音，但“难桶”“幽末”均非有效词汇，属于通过发音相近替代标准词的非词汇同音词。,否,,难桶性恋者 -> 男同性恋者；幽末 -> 幽默
368,toxicloakcn_homophone_keyword_002001#1,谦虚点，我们蝈腩😆,谦虚点，我们国男😆,是,蝈腩 -> 国男,否,蝈腩 -> 国男,谦虚点，我们蝈腩😆 -> 谦虚点，我们国男😆,拟音,非词汇同音词,“蝈腩”作为无意义组合，利用同音近似指代“国男”，属于非词汇同音词。,否,,蝈腩 -> 国男
369,toxicloakcn_emoji_keyword_000358#1,因为媚外是表象，借媚外打压锅男才是👩👊的目的，反媚外就是反拳，逻辑没问题。,因为媚外是表象，借媚外打压锅男才是女拳的目的，反媚外就是反拳，逻辑没问题。,是,👩👊 -> 女拳,否,👩👊 -> 女拳,因为媚外是表象，借媚外打压锅男才是👩👊的目的，反媚外就是反拳，逻辑没问题。 -> 因为媚外是表象，借媚外打压锅男才是女拳的目的，反媚外就是反拳，逻辑没问题。,其他,表情符号替换,使用表情符号👩👊代替文字“女拳”，属于表情符号替换。,否,,👩👊 -> 女拳
370,toxicloakcn_emoji_keyword_001302#1,个人觉得蝴蝶姬的老公有问题，要么是3️⃣非，要么是搞非法买卖的，从她的行为非常可疑。,个人觉得蝴蝶姬的老公有问题，要么是三非，要么是搞非法买卖的，从她的行为非常可疑。,是,3️⃣ -> 三,否,3️⃣非 -> 三非,个人觉得蝴蝶姬的老公有问题，要么是3️⃣非，要么是搞非法买卖的，从她的行为非常可疑。 -> 个人觉得蝴蝶姬的老公有问题，要么是三非，要么是搞非法买卖的，从她的行为非常可疑。,拟音,语音符号替代,使用数字emoji符号“3️⃣”根据发音（sān）替代汉字“三”，属于语音符号替代。,否,,3️⃣非 -> 三非
371,toxicloakcn_homophone_keyword_002353#1,拿出这种言论，我感觉你的世界观只能覆盖自己眼前的一穆三分地。同样，这样的观念并没有错，只是狭隘而已。其次，喜欢只是一种感受不是一种权利，能和喜欢的人生活在阳光下才是权利；最后，你提到的反感也不是一种自由，而是有限的眼界里，表现出的无知与傲慢。,拿出这种言论，我感觉你的世界观只能覆盖自己眼前的一亩三分地。同样，这样的观念并没有错，只是狭隘而已。其次，喜欢只是一种感受不是一种权利，能和喜欢的人生活在阳光下才是权利；最后，你提到的反感也不是一种自由，而是有限的眼界里，表现出的无知与傲慢。,是,穆 -> 亩,否,一穆三分地 -> 一亩三分地,拿出这种言论，我感觉你的世界观只能覆盖自己眼前的一穆三分地。同样，这样的观念并没有错，只是狭隘而已。其次，喜欢只是一种感受不是一种权利，能和喜欢的人生活在阳光下才是权利；最后，你提到的反感也不是一种自由，而是有限的眼界里，表现出的无知与傲慢。 -> 拿出这种言论，我感觉你的世界观只能覆盖自己眼前的一亩三分地。同样，这样的观念并没有错，只是狭隘而已。其次，喜欢只是一种感受不是一种权利，能和喜欢的人生活在阳光下才是权利；最后，你提到的反感也不是一种自由，而是有限的眼界里，表现出的无知与傲慢。,拟音,非词汇同音词,用“穆”代替“亩”，因发音相近，形成非词汇同音词，通过语音可解码为约定俗成的短语“一亩三分地”。,否,,一穆三分地 -> 一亩三分地
372,toxicloakcn_homophone_keyword_001196#1,兄弟，辛苦了，现在喷吧基本被拿下来了，就贵亩跟几个还在狗延残喘，好好休息，明天再战,兄弟，辛苦了，现在喷吧基本被拿下来了，就鬼母跟几个还在苟延残喘，好好休息，明天再战,否,贵亩 -> 鬼母；狗 -> 苟,否,贵亩 -> 鬼母；狗延残喘 -> 苟延残喘,兄弟，辛苦了，现在喷吧基本被拿下来了，就贵亩跟几个还在狗延残喘，好好休息，明天再战 -> 兄弟，辛苦了，现在喷吧基本被拿下来了，就鬼母跟几个还在苟延残喘，好好休息，明天再战,拟音,非词汇同音词,贵亩(guì mǔ)与鬼母(guǐ mǔ)、狗(gǒu)与苟(gǒu)均为同音/近音替换，替换后形成的“贵亩”和“狗延残喘”均非有效词汇，符合非词汇同音词的定义。,否,,贵亩 -> 鬼母；狗延残喘 -> 苟延残喘
373,toxicloakcn_homophone_keyword_000298#1,起码自私 中国上到公务员 下到服务员 到要求五官端正 形象气质佳 黑部牛球的除了进工厂 连工作都找不到 如果是黑人土豪还情有可元,起码自私 中国上到公务员 下到服务员 到要求五官端正 形象气质佳 黑不溜秋的除了进工厂 连工作都找不到 如果是黑人土豪还情有可原,是,部牛球 -> 不溜秋；元 -> 原,否,黑部牛球的 -> 黑不溜秋的；情有可元 -> 情有可原,起码自私 中国上到公务员 下到服务员 到要求五官端正 形象气质佳 黑部牛球的除了进工厂 连工作都找不到 如果是黑人土豪还情有可元 -> 起码自私 中国上到公务员 下到服务员 到要求五官端正 形象气质佳 黑不溜秋的除了进工厂 连工作都找不到 如果是黑人土豪还情有可原,拟音,非词汇同音词,“部牛球”为无意义音节组合，通过谐音替换为“不溜秋”，属于非词汇同音词；同时“元”替换“原”为同音字替换，但整体以非词汇谐音为主。,否,,黑部牛球的 -> 黑不溜秋的；情有可元 -> 情有可原
